dataset,condition,pair,cka
fever,kd_attn,s3-t9,0.3422465566721304
fever,kd_attn,s4-t12,0.22946139086130746
fever,kd_logit_hidden,s1-t3,0.7973860123195012
fever,kd_logit_hidden,s2-t6,0.7686262507165159
fever,kd_logit_hidden,s3-t9,0.5204585995223228
fever,kd_logit_hidden,s4-t12,0.36968345143853404
fever,kd_logit_attn,s1-t3,0.7868651236576136
fever,kd_logit_attn,s2-t6,0.7159371761597542
fever,kd_logit_attn,s3-t9,0.3304797286625274
fever,kd_logit_attn,s4-t12,0.23298560031395998
fever,kd_hidden_attn,s1-t3,0.8046875191571872
fever,kd_hidden_attn,s2-t6,0.7823699899692198
fever,kd_hidden_attn,s3-t9,0.6050945756976053
fever,kd_hidden_attn,s4-t12,0.5074219369587855
fever,kd_full,s1-t3,0.7972977999011999
fever,kd_full,s2-t6,0.7695133723088721
fever,kd_full,s3-t9,0.5299382532375694
fever,kd_full,s4-t12,0.37373902136346226
imdb,ce_only,s1-t3,0.7780662009209239
imdb,ce_only,s2-t6,0.6997047772281204
imdb,ce_only,s3-t9,0.4747636533094291
imdb,ce_only,s4-t12,0.49582298399744373
imdb,kd_logit,s1-t3,0.7756952122950164
imdb,kd_logit,s2-t6,0.7071588524907094
imdb,kd_logit,s3-t9,0.4929523422735389
imdb,kd_logit,s4-t12,0.5079402863745599
imdb,kd_hidden,s1-t3,0.7709050972086644
imdb,kd_hidden,s2-t6,0.6522329335749767
imdb,kd_hidden,s3-t9,0.4006574800251382
imdb,kd_hidden,s4-t12,0.42137130862583805
imdb,kd_attn,s1-t3,0.7796077667099512
imdb,kd_attn,s2-t6,0.7039313275683627
imdb,kd_attn,s3-t9,0.48766060489805196
imdb,kd_attn,s4-t12,0.4979475209884537
imdb,kd_logit_hidden,s1-t3,0.7618871439838837
imdb,kd_logit_hidden,s2-t6,0.6912438845656569
imdb,kd_logit_hidden,s3-t9,0.5471068523646477
imdb,kd_logit_hidden,s4-t12,0.5203433016057495
imdb,kd_logit_attn,s1-t3,0.7770194044683385
imdb,kd_logit_attn,s2-t6,0.7102569239539954
imdb,kd_logit_attn,s3-t9,0.5030063927839802
imdb,kd_logit_attn,s4-t12,0.5092247793416138
imdb,kd_hidden_attn,s1-t3,0.7697559802192439
imdb,kd_hidden_attn,s2-t6,0.6666150841689737
imdb,kd_hidden_attn,s3-t9,0.45343335232207754
imdb,kd_hidden_attn,s4-t12,0.4306656258302471
imdb,kd_full,s1-t3,0.7638593651363784
imdb,kd_full,s2-t6,0.6945218745753832
imdb,kd_full,s3-t9,0.5549688784535642
imdb,kd_full,s4-t12,0.5165472412277995
tweet_eval-sentiment,ce_only,s1-t3,0.751818456906027
tweet_eval-sentiment,ce_only,s2-t6,0.7350182759588295
tweet_eval-sentiment,ce_only,s3-t9,0.48622824475611787
tweet_eval-sentiment,ce_only,s4-t12,0.7441677702335291
tweet_eval-sentiment,kd_logit,s1-t3,0.7616418374706333
tweet_eval-sentiment,kd_logit,s2-t6,0.7392526528869247
tweet_eval-sentiment,kd_logit,s3-t9,0.5323525697132117
tweet_eval-sentiment,kd_logit,s4-t12,0.7563275209202761
tweet_eval-sentiment,kd_hidden,s1-t3,0.7812526754007058
tweet_eval-sentiment,kd_hidden,s2-t6,0.7712857320989012
tweet_eval-sentiment,kd_hidden,s3-t9,0.6091520934463406
tweet_eval-sentiment,kd_hidden,s4-t12,0.766372624256433
tweet_eval-sentiment,kd_attn,s1-t3,0.7529501878109675
tweet_eval-sentiment,kd_attn,s2-t6,0.7414379901530849
tweet_eval-sentiment,kd_attn,s3-t9,0.5365594195404549
tweet_eval-sentiment,kd_attn,s4-t12,0.7510762698768791
tweet_eval-sentiment,kd_logit_hidden,s1-t3,0.7639537020601124
tweet_eval-sentiment,kd_logit_hidden,s2-t6,0.7376330347998683
tweet_eval-sentiment,kd_logit_hidden,s3-t9,0.5587907764481459
tweet_eval-sentiment,kd_logit_hidden,s4-t12,0.7637041889325648
tweet_eval-sentiment,kd_logit_attn,s1-t3,0.7586252396072632
tweet_eval-sentiment,kd_logit_attn,s2-t6,0.7437800434359142
tweet_eval-sentiment,kd_logit_attn,s3-t9,0.5227826009530667
tweet_eval-sentiment,kd_logit_attn,s4-t12,0.7671400419189623
tweet_eval-sentiment,kd_hidden_attn,s1-t3,0.7837857789408503
tweet_eval-sentiment,kd_hidden_attn,s2-t6,0.7727382442593271
tweet_eval-sentiment,kd_hidden_attn,s3-t9,0.6241247952901251
tweet_eval-sentiment,kd_hidden_attn,s4-t12,0.7704344357447247
tweet_eval-sentiment,kd_full,s1-t3,0.7658605144552094
tweet_eval-sentiment,kd_full,s2-t6,0.7457113759434317
tweet_eval-sentiment,kd_full,s3-t9,0.5888219571644282
tweet_eval-sentiment,kd_full,s4-t12,0.7666240059205545
